PLAYER NAME,FEDEX CUP POINTS,AVERAGE DRIVING DISTANCE,Strokes Gained Off the Tee,Strokes gained tee to green,Strokes gained approach to the green,Strokes gained around the green,Strokes gained putting,Strokes gained total,BIRDIE TO BOGEY RATIO,birdie or better % from the rough,Scrambling average distance to the hole,World Ranking,Scoring Average,Percent of Available Purse Won,Official Money Won,,,,,
Jonathan Randolph,28,282.2,0.295,-0.606,-0.637,-0.264,-0.459,-1.065,1.14,16.33,8.75,436,72.5,0.1,48044 ,,,,,
Jordan Spieth,1104,292.2,-0.02,1.349,1.2,0.169,0.449,1.799,2.47,22.09,7.17,5,69.425,3.95,2747333 ,,,,,
Julian Etulain,58,290.6,-0.231,-0.943,-0.297,-0.415,0.128,-0.814,1.28,13.04,8.42,416,71.988,0.21,112593 ,,,,,
Justin Rose,980,301.3,0.791,1.462,0.281,0.389,0.208,1.669,1.75,20.79,7.50,8,69.482,4.38,2729980 ,,,,,
Justin Thomas,1793,306.5,0.635,1.594,0.716,0.242,0.377,1.97,2.16,23.81,7.08,11,69.497,4.76,4308994 ,,,,,
K.J. Choi,53,274.7,-0.363,-0.36,-0.377,0.251,-0.074,-0.563,1,13.64,8.08,203,72.299,0.16,124820 ,,,,,
Keegan Bradley,508,296.6,0.513,0.905,0.393,-0.092,-0.177,0.636,1.66,13.18,7.67,101,70.521,1.21,1132907 ,,,,,
Kelly Kraft,397,289.4,-0.145,-0.139,0.254,-0.466,-0.451,-0.808,1.1,14.78,10.00,178,71.801,1.03,935427 ,,,,,
Ken Duke,61,273.3,-0.227,-0.527,-0.39,-0.005,-0.304,-0.925,1.05,13,8.00,362,72.279,0.15,130471 ,,,,,
Kevin Chappell,177,298.6,0.204,0.257,-0.009,0.061,-1.012,-0.755,1.04,12.82,7.50,41,71.88,0.66,629207 ,,,,,
Kevin Kisner,694,284.6,0.361,1.576,0.744,0.429,0.391,1.925,1.52,22.67,6.67,38,70.433,1.9,1759991 ,,,,,
Kevin Na,389,284.9,-0.266,0.562,0.411,0.442,0.013,0.602,1.39,28.57,6.67,55,70.976,0.89,937402 ,,,,,
Kevin Streelman,272,290.7,0.454,0.476,0.06,-0.038,-0.445,0.031,1.36,14.15,7.83,133,71.22,0.73,625438 ,,,,,
Kevin Tway,55,306.5,0.454,-0.334,-0.652,-0.136,0.031,-0.303,1.26,14.14,8.92,432,72.087,0.18,115860 ,,,,,
Kyle Reifers,83,286.7,-0.038,0.133,0.085,0.014,-0.729,-0.668,1.05,11.01,8.08,192,72.037,0.15,158501 ,,,,,
Kyle Stanley,418,295.7,0.801,1.739,0.785,0.003,-0.405,1.183,1.76,16.1,7.83,169,70.086,1.04,899442 ,,,,,
Louis Oosthuizen,350,295.5,0.55,1.105,0.243,0.312,0.078,1.183,1.3,11.76,7.58,32,70.716,1.26,853775 ,,,,,
Lucas Glover,506,295.5,0.606,1.584,0.803,0.112,-0.225,1.296,1.89,14.29,7.83,120,69.9,1.52,1168828 ,,,,,
Luke Donald,424,275.4,-0.82,-0.559,-0.016,0.543,0.931,0.638,1.39,11.36,6.50,69,70.399,1.56,937255 ,,,,,
Luke List,644,311.8,0.565,1.251,0.456,0.188,0.124,1.334,1.96,20.42,8.50,115,70.012,1.48,1478186 ,,,,,
Mackenzie Hughes,775,289.2,-0.081,-0.384,-0.319,0.016,0.555,0.171,1.31,15.68,8.83,118,71.32,1.51,1680103 ,,,,,
Marc Leishman,869,297,0.348,0.524,0.139,0.21,0.765,1.462,1.77,14.58,7.50,29,69.907,2.87,2342548 ,,,,,
Mark Anderson,51,278.9,-0.142,-0.484,-0.189,-0.083,-0.013,-0.428,1.29,15.63,8.33,387,71.893,0.19,98424 ,,,,,
Mark Hubbard,27,275.6,-0.869,-1.233,-0.385,-0.07,-0.227,-1.551,0.94,10.85,8.58,507,72.825,0.1,90118 ,,,,,
Mark Wilson,51,273.7,-0.362,0.81,1.088,0.084,-0.02,0.791,1.37,19.15,8.50,609,71.488,0.23,88222 ,,,,,
Martin Flores,170,294.6,-0.484,-0.416,0.414,-0.345,0.275,-0.14,1.61,20.49,7.75,230,71.236,0.45,326231 ,,,,,
Martin Laird,423,294.3,0.326,0.94,0.413,-0.023,0.344,1.06,1.72,10.81,7.58,110,70.429,1.32,987104 ,,,,,
Matt Every,8,291,-1.525,-2.631,-0.905,-0.165,-0.677,-3.271,0.68,11.5,10.08,999,74.531,0.03,33091 ,,,,,
Matt Jones,104,297,0.299,0.325,-0.384,0.41,0.331,0.655,1.63,17.39,7.50,189,70.876,0.48,197338 ,,,,,
Matt Kuchar,460,280.3,0.32,0.321,-0.108,0.325,0.28,0.817,1.47,8.24,6.08,17,70.414,1.26,1157741 ,,,,,
Michael Kim,397,288.3,-0.152,0.242,0.19,0.093,0.743,0.874,1.56,20.28,7.67,209,70.45,0.88,814192 ,,,,,
Michael Thompson,238,284.1,-0.295,-0.774,-0.173,-0.242,1.023,0.313,1.35,11.22,9.25,198,71.049,0.6,484156 ,,,,,
Miguel Angel Carballo,55,286.4,0.22,-0.797,-1.097,0.08,-0.164,-0.961,1.2,18.42,9.25,506,72.231,0.21,120042 ,,,,,
Morgan Hoffmann,298,291.9,0.196,-0.355,-0.388,-0.307,-0.081,-0.58,1.06,22.22,8.83,187,71.876,0.69,676888 ,,,,,
Nicholas Lindheim,53,286.6,-0.736,-1.739,-0.678,-0.325,0.368,-1.37,1.24,9.64,10.17,395,72.253,0.17,96802 ,,,,,
Nick Taylor,229,292,0.11,0.046,-0.094,0.12,-0.176,-0.04,1.34,13.7,8.17,295,71.131,0.54,497990 ,,,,,
Nick Watney,196,296.4,0.038,0.212,0.495,-0.321,-0.04,0.172,1.3,14.74,8.83,302,71.105,0.66,390876 ,,,,,
Ollie Schniederjans,473,299,0.204,0.6,0.561,0.02,0.054,0.839,1.46,17.58,7.83,102,70.538,1.15,1063530 ,,,,,
Pat Perez,1096,293.3,0.011,0.561,-0.062,0.489,0.352,0.79,1.77,17.78,6.92,58,70.34,2.59,2717336 ,,,,,
Patrick Reed,232,291.6,0.48,-0.212,-0.64,-0.052,0.49,0.278,1.22,21.84,8.50,15,71.75,0.65,602091 ,,,,,
Patrick Rodgers,250,303,0.236,-0.398,-0.351,-0.283,-0.685,-1.082,1.06,17.39,8.83,149,71.708,0.67,540373 ,,,,,
Patton Kizzire,340,290.1,-0.871,-0.928,-0.002,0.143,0.464,-0.266,1.15,13.61,8.00,137,71.655,0.88,739223 ,,,,,
Paul Casey,596,296.8,0.073,1.216,0.615,0.528,-0.217,0.999,1.79,18.6,6.00,14,70.163,1.53,1417559 ,,,,,
Peter Malnati,65,279.1,-0.178,-0.798,-0.913,0.314,0.416,-0.361,1.15,17.5,7.67,389,71.986,0.14,130950 ,,,,,
Phil Mickelson,475,293,-0.344,0.579,0.302,0.621,0.613,1.192,1.55,17.8,6.75,19,70.429,1.46,1108398 ,,,,,
Rafa Cabrera Bello,191,287.3,-0.516,-0.631,-0.303,0.055,0.414,-0.35,1.15,21.28,7.67,31,71.121,0.65,428467 ,,,,,
Retief Goosen,117,286.1,0.126,-0.396,-0.739,0.217,-1.268,-1.664,0.86,5.45,8.25,207,72.527,0.41,224000 ,,,,,
Richy Werenski,153,289.8,0.225,-0.217,-0.116,-0.326,-0.27,-0.488,1.35,11.76,9.08,254,71.505,0.41,321158 ,,,,,
Rick Lamb,7,292.1,0.148,-1.479,-1.298,-0.328,-0.875,-2.354,0.99,8.33,8.92,423,73.323,0.05,21978 ,,,,,
Rickie Fowler,1069,301.5,0.48,1.825,0.988,0.358,0.784,2.609,2.08,20,7.58,9,68.992,4.06,2626558 ,,,,,
Ricky Barnes,25,280.7,-0.794,-1.206,-0.255,-0.106,0.134,-1.021,1.14,16.38,8.33,276,72.196,0.07,67277 ,,,,,
Robert Garrigus,215,297.7,0.333,0.391,0.325,-0.33,-0.229,0.099,1.51,13.79,9.25,211,70.988,0.47,378517 ,,,,,
Robert Streb,138,294.8,0.048,-0.042,-0.312,0.14,-0.127,-0.251,1.28,17.24,9.25,141,71.233,0.36,304520 ,,,,,
Roberto Castro,91,278.2,0.095,0.393,0.259,-0.048,-0.446,-0.139,1.07,13.24,7.08,89,71.832,0.25,224578 ,,,,,
Rod Pampling,604,290.9,-0.004,0.344,0.206,0.26,-0.413,0.05,1.19,15.87,7.50,145,71.727,1.71,1383887 ,,,,,
Rory McIlroy,462,318.8,1.342,2.83,1.783,-0.296,-0.027,2.802,2,26.92,6.25,2,68.868,2.92,1395216 ,,,,,
Rory Sabbatini,95,288.6,0.35,0.79,0.347,0.093,-0.097,0.694,1.48,18.42,8.00,455,70.879,0.38,196168 ,,,,,
Russell Henley,935,299.1,0.505,0.906,0.438,-0.002,0.774,1.715,1.88,10.64,7.58,54,69.724,2.6,2242346 ,,,,,
Russell Knox,520,285.5,0.109,-0.434,-0.088,-0.099,-0.203,-0.282,1.59,18.03,8.25,26,70.744,1.39,1260878 ,,,,,
Ryan Armour,41,275.2,-0.256,-0.059,-0.014,0.211,-0.238,-0.297,1.31,13.85,6.67,420,71.465,0.16,74471 ,,,,,
Ryan Blaum,238,282.3,-0.115,-0.102,0.009,-0.054,0.411,0.251,1.54,13.48,9.25,328,70.905,0.51,469880 ,,,,,
Ryan Brehm,95,306.6,0.159,-0.006,-0.112,-0.053,-0.162,-0.169,1.37,15.15,8.42,282,71.438,0.32,208105 ,,,,,
Ryan Moore,492,286.8,-0.034,0.456,0.656,-0.166,0.356,0.812,1.51,12.33,9.25,28,70.631,1.41,1233722 ,,,,,
Ryan Palmer,78,299.9,0.501,1.029,0.774,0.038,-1.156,0.158,1.15,15.12,8.58,91,71.152,0.3,159481 ,,,,,
Ryo Ishikawa,135,287.7,-0.638,-0.59,-0.455,0.316,-0.023,-0.799,1.25,12.24,8.42,123,71.588,0.38,289058 ,,,,,
Sam Saunders,170,286.3,0.46,-0.146,-0.505,-0.049,0.007,-0.087,1.39,15.79,8.92,285,71.212,0.55,338487 ,,,,,
Scott Brown,318,286.7,-0.013,-0.835,-0.427,-0.3,0.257,-0.483,1.27,17.09,8.58,119,71.36,0.86,778328 ,,,,,
Scott Piercy,406,296.8,0.273,0.463,0.183,0.008,-0.083,0.38,1.41,13.76,9.25,53,70.928,0.97,1012627 ,,,,,
Scott Stallings,179,292.5,-0.255,-0.372,0.042,-0.159,-0.359,-0.731,1.14,9.8,8.42,268,71.738,0.52,376812 ,,,,,
Seamus Power,136,300.8,-0.128,0.028,-0.259,0.416,0.465,0.493,1.61,21.9,7.75,312,70.891,0.34,241309 ,,,,,
Sean O'Hair,302,293.1,0.278,0.411,0.296,-0.164,0.021,0.432,1.31,19.82,8.83,86,71.032,0.82,739976 ,,,,,
Sergio Garcia,877,304.2,1.254,1.865,0.235,0.377,-0.607,1.258,1.87,18.37,5.83,7,69.376,4.34,2576426 ,,,,,
Seung-Yul Noh,230,297.4,-0.581,-0.357,-0.052,0.276,0.247,-0.11,1.31,15.66,7.83,256,71.335,0.59,589929 ,,,,,
Shane Lowry,171,293.2,0.528,1.477,0.399,-0.026,0.123,1.025,1.4,21.28,8.33,67,70.733,0.61,386351 ,,,,,
Shawn Stefani,107,292.1,0.054,0.278,0.145,0.012,-0.292,-0.081,1.42,10.75,7.42,384,71.067,0.29,213843 ,,,,,
Smylie Kaufman,16,307.6,-0.101,-1.087,-0.672,-0.315,-0.628,-1.715,0.94,10.64,8.25,170,72.916,0.06,44676 ,,,,,
Soren Kjeldsen,204,273.5,-0.414,-0.348,-0.074,0.139,0.484,0.136,1,16.95,10.17,62,71.399,0.71,550944 ,,,,,
Spencer Levin,51,276.4,-0.436,-1.203,-0.847,0.001,-0.032,-1.315,1.03,6.32,8.33,290,72.407,0.11,116969 ,,,,,
Steve Marino,45,292,0.141,-0.807,-1.009,0.077,-0.755,-1.546,1.19,19.59,8.67,447,72.035,0.12,98573 ,,,,,
Steve Wheatcroft,35,277.4,0.416,-0.546,-1.195,0.232,0.426,-0.12,1.03,6.82,7.75,437,72.156,0.17,69627 ,,,,,
Steven Alker,81,275.8,-0.15,0.223,-0.068,0.442,-0.131,0.093,1.35,10.94,7.67,575,71.584,0.19,125289 ,,,,,
Stewart Cink,361,291.6,0.092,0.873,0.542,0.195,0.347,1.176,1.62,18.67,8.00,206,70.107,0.74,689433 ,,,,,
Sung Kang,522,296.5,0.459,0.677,0.37,-0.172,0.147,0.804,1.53,20.81,8.67,96,70.491,1.19,1199595 ,,,,,
Tag Ridings,58,299.2,0.187,-0.144,-0.268,-0.063,-0.275,-0.419,1.35,20.83,6.83,622,71.807,0.26,115595 ,,,,,
Tim Wilkinson,142,278,-0.487,0.343,0.209,0.622,0.081,0.425,1.6,12.82,5.75,315,70.944,0.39,230346 ,,,,,
Tony Finau,468,306.2,0.849,1.418,0.469,0.1,-0.367,1.051,1.81,22.14,7.17,74,70.613,1.12,990905 ,,,,,
Trey Mullinax,138,305.3,0.272,-0.169,-0.642,0.071,0.13,-0.169,1.37,20,8.00,353,71.356,0.32,274130 ,,,,,
Troy Merritt,135,286.8,-0.133,-0.075,-0.057,0.008,0.031,-0.15,1.25,15,7.25,235,71.627,0.32,293919 ,,,,,
Tyrone Van Aswegen,203,285.3,0.008,-0.056,-0.173,0.158,-0.381,-0.388,1.23,7.69,8.67,253,71.494,0.45,453587 ,,,,,
Vaughn Taylor,191,278.5,-0.144,0.009,0.409,-0.37,0.185,0.08,1.55,15.6,8.58,161,71.407,0.45,392073 ,,,,,
Vijay Singh,26,288.1,-0.078,-0.282,-0.277,0.149,-0.773,-0.978,0.86,20.31,7.67,261,72.343,0.07,50303 ,,,,,
Webb Simpson,515,283.8,-0.135,1.148,0.918,0.339,-0.491,0.632,1.55,19.13,6.83,68,70.502,1.18,1173217 ,,,,,
Wesley Bryan,845,282.7,-0.329,0.567,0.688,0.364,0.272,0.994,1.54,15.04,7.25,37,70.571,2.24,1990194 ,,,,,
Whee Kim,232,290.4,-0.134,-0.141,-0.127,0.019,0.005,-0.237,1.49,16.95,8.08,263,71.061,0.58,454980 ,,,,,
Will MacKenzie,78,279.8,-0.213,-0.794,-0.408,-0.173,-0.319,-1.112,1.38,9.38,8.92,439,71.744,0.29,174280 ,,,,,
William McGirt,432,285.5,0.433,0.29,0.192,-0.168,-0.005,0.451,1.57,13.41,8.92,44,70.788,1.02,969452 ,,,,,
Xander Schauffele,107,299.4,-0.005,0.183,0.233,-0.045,0.013,0.196,1.47,17.5,8.83,337,71.542,0.38,246710 ,,,,,
Zac Blair,225,272.1,-0.075,0.171,-0.121,0.344,0.115,0.263,1.63,12.82,6.83,223,70.931,0.47,475360 ,,,,,
Zach Johnson,258,286.7,0.051,-0.009,-0.446,0.386,0.564,0.555,1.32,14.86,6.75,56,70.596,0.88,609429 ,,,,,
